"Rank","Match Point","Status","Player Name - 1","Membership Number - 1"
"1","6","joining","Lorbag99","0000203688"
"2","6","joining","Iclaf","0000453763"
"3","6","joining","Dige","0000475097"
"4","3","joining","Fidio","0000118859"
"5","3","joining","Blund","0000110798"
"6","3","joining","Matteviga","0000207592"
"7","3","joining","Naffy","0000455271"
"8","3","joining","Mellow","0000166660"
"8","3","joining","Gallo","0000448187"
"10","0","joining","sArnautovic","0000127213"
"10","0","joining","Catta","0000561448"
"12","0","joining","Commo","0000134640"
